Ticker,Fund Name,Date,NAV
QQQ,Invesco QQQ Trust,2024-09-05 00:00:00-04:00,458.45
QQQ,Invesco QQQ Trust,2024-09-06 00:00:00-04:00,446.17
QQQ,Invesco QQQ Trust,2024-09-09 00:00:00-04:00,451.91
QQQ,Invesco QQQ Trust,2024-09-10 00:00:00-04:00,456.09
QQQ,Invesco QQQ Trust,2024-09-11 00:00:00-04:00,465.99
QQQ,Invesco QQQ Trust,2024-09-12 00:00:00-04:00,470.56
QQQ,Invesco QQQ Trust,2024-09-13 00:00:00-04:00,472.67
QQQ,Invesco QQQ Trust,2024-09-16 00:00:00-04:00,470.58
QQQ,Invesco QQQ Trust,2024-09-17 00:00:00-04:00,470.83
QQQ,Invesco QQQ Trust,2024-09-18 00:00:00-04:00,468.79
QQQ,Invesco QQQ Trust,2024-09-19 00:00:00-04:00,480.65
QQQ,Invesco QQQ Trust,2024-09-20 00:00:00-04:00,479.73
QQQ,Invesco QQQ Trust,2024-09-23 00:00:00-04:00,481.00
QQQ,Invesco QQQ Trust,2024-09-24 00:00:00-04:00,483.32
QQQ,Invesco QQQ Trust,2024-09-25 00:00:00-04:00,483.77
QQQ,Invesco QQQ Trust,2024-09-26 00:00:00-04:00,487.41
QQQ,Invesco QQQ Trust,2024-09-27 00:00:00-04:00,484.70
QQQ,Invesco QQQ Trust,2024-09-30 00:00:00-04:00,486.01
QQQ,Invesco QQQ Trust,2024-10-01 00:00:00-04:00,479.24
QQQ,Invesco QQQ Trust,2024-10-02 00:00:00-04:00,479.92
QQQ,Invesco QQQ Trust,2024-10-03 00:00:00-04:00,479.56
QQQ,Invesco QQQ Trust,2024-10-04 00:00:00-04:00,485.27
QQQ,Invesco QQQ Trust,2024-10-07 00:00:00-04:00,480.07
QQQ,Invesco QQQ Trust,2024-10-08 00:00:00-04:00,487.24
QQQ,Invesco QQQ Trust,2024-10-09 00:00:00-04:00,491.07
QQQ,Invesco QQQ Trust,2024-10-10 00:00:00-04:00,490.51
QQQ,Invesco QQQ Trust,2024-10-11 00:00:00-04:00,491.28
QQQ,Invesco QQQ Trust,2024-10-14 00:00:00-04:00,495.40
QQQ,Invesco QQQ Trust,2024-10-15 00:00:00-04:00,488.78
QQQ,Invesco QQQ Trust,2024-10-16 00:00:00-04:00,488.84
QQQ,Invesco QQQ Trust,2024-10-17 00:00:00-04:00,489.18
QQQ,Invesco QQQ Trust,2024-10-18 00:00:00-04:00,492.39
QQQ,Invesco QQQ Trust,2024-10-21 00:00:00-04:00,493.33
QQQ,Invesco QQQ Trust,2024-10-22 00:00:00-04:00,493.87
QQQ,Invesco QQQ Trust,2024-10-23 00:00:00-04:00,486.30
QQQ,Invesco QQQ Trust,2024-10-24 00:00:00-04:00,490.24
QQQ,Invesco QQQ Trust,2024-10-25 00:00:00-04:00,493.23
QQQ,Invesco QQQ Trust,2024-10-28 00:00:00-04:00,493.31
QQQ,Invesco QQQ Trust,2024-10-29 00:00:00-04:00,498.05
QQQ,Invesco QQQ Trust,2024-10-30 00:00:00-04:00,494.29
QQQ,Invesco QQQ Trust,2024-10-31 00:00:00-04:00,481.81
QQQ,Invesco QQQ Trust,2024-11-01 00:00:00-04:00,485.38
QQQ,Invesco QQQ Trust,2024-11-04 00:00:00-05:00,483.96
QQQ,Invesco QQQ Trust,2024-11-05 00:00:00-05:00,490.14
QQQ,Invesco QQQ Trust,2024-11-06 00:00:00-05:00,503.45
QQQ,Invesco QQQ Trust,2024-11-07 00:00:00-05:00,511.38
QQQ,Invesco QQQ Trust,2024-11-08 00:00:00-05:00,511.97
QQQ,Invesco QQQ Trust,2024-11-11 00:00:00-05:00,511.67
QQQ,Invesco QQQ Trust,2024-11-12 00:00:00-05:00,510.75
QQQ,Invesco QQQ Trust,2024-11-13 00:00:00-05:00,510.09
QQQ,Invesco QQQ Trust,2024-11-14 00:00:00-05:00,506.55
QQQ,Invesco QQQ Trust,2024-11-15 00:00:00-05:00,494.48
QQQ,Invesco QQQ Trust,2024-11-18 00:00:00-05:00,497.91
QQQ,Invesco QQQ Trust,2024-11-19 00:00:00-05:00,501.34
QQQ,Invesco QQQ Trust,2024-11-20 00:00:00-05:00,501.05
QQQ,Invesco QQQ Trust,2024-11-21 00:00:00-05:00,502.85
QQQ,Invesco QQQ Trust,2024-11-22 00:00:00-05:00,503.66
QQQ,Invesco QQQ Trust,2024-11-25 00:00:00-05:00,504.45
QQQ,Invesco QQQ Trust,2024-11-26 00:00:00-05:00,507.16
QQQ,Invesco QQQ Trust,2024-11-27 00:00:00-05:00,503.17
QQQ,Invesco QQQ Trust,2024-11-29 00:00:00-05:00,507.59
QQQ,Invesco QQQ Trust,2024-12-02 00:00:00-05:00,513.12
QQQ,Invesco QQQ Trust,2024-12-03 00:00:00-05:00,514.69
QQQ,Invesco QQQ Trust,2024-12-04 00:00:00-05:00,521.05
QQQ,Invesco QQQ Trust,2024-12-05 00:00:00-05:00,519.61
QQQ,Invesco QQQ Trust,2024-12-06 00:00:00-05:00,524.26
QQQ,Invesco QQQ Trust,2024-12-09 00:00:00-05:00,520.18
QQQ,Invesco QQQ Trust,2024-12-10 00:00:00-05:00,518.41
QQQ,Invesco QQQ Trust,2024-12-11 00:00:00-05:00,527.69
QQQ,Invesco QQQ Trust,2024-12-12 00:00:00-05:00,524.28
QQQ,Invesco QQQ Trust,2024-12-13 00:00:00-05:00,528.29
QQQ,Invesco QQQ Trust,2024-12-16 00:00:00-05:00,535.90
QQQ,Invesco QQQ Trust,2024-12-17 00:00:00-05:00,533.54
QQQ,Invesco QQQ Trust,2024-12-18 00:00:00-05:00,514.29
QQQ,Invesco QQQ Trust,2024-12-19 00:00:00-05:00,512.00
QQQ,Invesco QQQ Trust,2024-12-20 00:00:00-05:00,516.47
QQQ,Invesco QQQ Trust,2024-12-23 00:00:00-05:00,521.51
QQQ,Invesco QQQ Trust,2024-12-24 00:00:00-05:00,528.58
QQQ,Invesco QQQ Trust,2024-12-26 00:00:00-05:00,528.22
QQQ,Invesco QQQ Trust,2024-12-27 00:00:00-05:00,521.20
QQQ,Invesco QQQ Trust,2024-12-30 00:00:00-05:00,514.26
QQQ,Invesco QQQ Trust,2024-12-31 00:00:00-05:00,509.90
QQQ,Invesco QQQ Trust,2025-01-02 00:00:00-05:00,508.90
QQQ,Invesco QQQ Trust,2025-01-03 00:00:00-05:00,517.23
QQQ,Invesco QQQ Trust,2025-01-06 00:00:00-05:00,523.17
QQQ,Invesco QQQ Trust,2025-01-07 00:00:00-05:00,513.84
